X,Y,Z,formation
0.0,0.0,-1503,Horizon_1
5000.0,0.0,-1574,Horizon_1
10000.0,0.0,-1645,Horizon_1
15000.0,0.0,-1720,Horizon_1
20000.0,0.0,-1786,Horizon_1
25000.0,0.0,-1860,Horizon_1
30000.0,0.0,-1933,Horizon_1
35000.0,0.0,-2015,Horizon_1
40000.0,0.0,-2075,Horizon_1
45000.0,0.0,-2112,Horizon_1
50000.0,0.0,-2156,Horizon_1
55000.0,0.0,-2194,Horizon_1
60000.0,0.0,-2218,Horizon_1
65000.0,0.0,-2180,Horizon_1
70000.0,0.0,-2147,Horizon_1
75000.0,0.0,-2258,Horizon_1
80000.0,0.0,-2383,Horizon_1
85000.0,0.0,-2418,Horizon_1
90000.0,0.0,-2418,Horizon_1
95000.0,0.0,-2422,Horizon_1
100000.0,0.0,-2513,Horizon_1
105000.0,0.0,-2528,Horizon_1
110000.0,0.0,-2515,Horizon_1
115000.0,0.0,-2641,Horizon_1
120000.0,0.0,-2721,Horizon_1
125000.0,0.0,-2751,Horizon_1
130000.0,0.0,-2806,Horizon_1
135000.0,0.0,-2793,Horizon_1
140000.0,0.0,-2774,Horizon_1
145000.0,0.0,-2820,Horizon_1
150000.0,0.0,-2877,Horizon_1
155000.0,0.0,-3156,Horizon_1
160000.0,0.0,-3399,Horizon_1
165000.0,0.0,-3370,Horizon_1
170000.0,0.0,-3338,Horizon_1
175000.0,0.0,-3374,Horizon_1
0.0,5000.0,-1514,Horizon_1
5000.0,5000.0,-1575,Horizon_1
10000.0,5000.0,-1636,Horizon_1
15000.0,5000.0,-1698,Horizon_1
20000.0,5000.0,-1762,Horizon_1
25000.0,5000.0,-1835,Horizon_1
30000.0,5000.0,-1893,Horizon_1
35000.0,5000.0,-1955,Horizon_1
40000.0,5000.0,-2022,Horizon_1
45000.0,5000.0,-2083,Horizon_1
50000.0,5000.0,-2122,Horizon_1
55000.0,5000.0,-2169,Horizon_1
60000.0,5000.0,-2194,Horizon_1
65000.0,5000.0,-2220,Horizon_1
70000.0,5000.0,-2162,Horizon_1
75000.0,5000.0,-2186,Horizon_1
80000.0,5000.0,-2358,Horizon_1
85000.0,5000.0,-2412,Horizon_1
90000.0,5000.0,-2398,Horizon_1
95000.0,5000.0,-2403,Horizon_1
100000.0,5000.0,-2500,Horizon_1
105000.0,5000.0,-2483,Horizon_1
110000.0,5000.0,-2442,Horizon_1
115000.0,5000.0,-2676,Horizon_1
120000.0,5000.0,-2645,Horizon_1
125000.0,5000.0,-2660,Horizon_1
130000.0,5000.0,-2812,Horizon_1
135000.0,5000.0,-2828,Horizon_1
140000.0,5000.0,-2805,Horizon_1
145000.0,5000.0,-2879,Horizon_1
150000.0,5000.0,-2904,Horizon_1
155000.0,5000.0,-3190,Horizon_1
160000.0,5000.0,-3504,Horizon_1
165000.0,5000.0,-3327,Horizon_1
170000.0,5000.0,-3295,Horizon_1
175000.0,5000.0,-3343,Horizon_1
0.0,10000.0,-1529,Horizon_1
5000.0,10000.0,-1583,Horizon_1
10000.0,10000.0,-1634,Horizon_1
15000.0,10000.0,-1695,Horizon_1
20000.0,10000.0,-1754,Horizon_1
25000.0,10000.0,-1825,Horizon_1
30000.0,10000.0,-1892,Horizon_1
35000.0,10000.0,-1949,Horizon_1
40000.0,10000.0,-1991,Horizon_1
45000.0,10000.0,-2030,Horizon_1
50000.0,10000.0,-2080,Horizon_1
55000.0,10000.0,-2152,Horizon_1
60000.0,10000.0,-2191,Horizon_1
65000.0,10000.0,-2220,Horizon_1
70000.0,10000.0,-2190,Horizon_1
75000.0,10000.0,-2177,Horizon_1
80000.0,10000.0,-2368,Horizon_1
85000.0,10000.0,-2400,Horizon_1
90000.0,10000.0,-2418,Horizon_1
95000.0,10000.0,-2394,Horizon_1
100000.0,10000.0,-2486,Horizon_1
105000.0,10000.0,-2496,Horizon_1
110000.0,10000.0,-2443,Horizon_1
115000.0,10000.0,-2495,Horizon_1
120000.0,10000.0,-2561,Horizon_1
125000.0,10000.0,-2626,Horizon_1
130000.0,10000.0,-2832,Horizon_1
135000.0,10000.0,-2843,Horizon_1
140000.0,10000.0,-2804,Horizon_1
145000.0,10000.0,-2859,Horizon_1
150000.0,10000.0,-2907,Horizon_1
155000.0,10000.0,-3206,Horizon_1
160000.0,10000.0,-3510,Horizon_1
165000.0,10000.0,-3274,Horizon_1
170000.0,10000.0,-3245,Horizon_1
175000.0,10000.0,-3278,Horizon_1
0.0,15000.0,-1549,Horizon_1
5000.0,15000.0,-1608,Horizon_1
10000.0,15000.0,-1654,Horizon_1
15000.0,15000.0,-1705,Horizon_1
20000.0,15000.0,-1760,Horizon_1
25000.0,15000.0,-1814,Horizon_1
30000.0,15000.0,-1876,Horizon_1
35000.0,15000.0,-1940,Horizon_1
40000.0,15000.0,-1977,Horizon_1
45000.0,15000.0,-2006,Horizon_1
50000.0,15000.0,-2087,Horizon_1
55000.0,15000.0,-2164,Horizon_1
60000.0,15000.0,-2194,Horizon_1
65000.0,15000.0,-2215,Horizon_1
70000.0,15000.0,-2242,Horizon_1
75000.0,15000.0,-2233,Horizon_1
80000.0,15000.0,-2334,Horizon_1
85000.0,15000.0,-2383,Horizon_1
90000.0,15000.0,-2411,Horizon_1
95000.0,15000.0,-2333,Horizon_1
100000.0,15000.0,-2442,Horizon_1
105000.0,15000.0,-2487,Horizon_1
110000.0,15000.0,-2455,Horizon_1
115000.0,15000.0,-2525,Horizon_1
120000.0,15000.0,-2564,Horizon_1
125000.0,15000.0,-2647,Horizon_1
130000.0,15000.0,-2854,Horizon_1
135000.0,15000.0,-2858,Horizon_1
140000.0,15000.0,-2843,Horizon_1
145000.0,15000.0,-2858,Horizon_1
150000.0,15000.0,-2937,Horizon_1
155000.0,15000.0,-3019,Horizon_1
160000.0,15000.0,-3244,Horizon_1
165000.0,15000.0,-3224,Horizon_1
170000.0,15000.0,-3213,Horizon_1
175000.0,15000.0,-3234,Horizon_1
0.0,20000.0,-1566,Horizon_1
5000.0,20000.0,-1626,Horizon_1
10000.0,20000.0,-1661,Horizon_1
15000.0,20000.0,-1708,Horizon_1
20000.0,20000.0,-1754,Horizon_1
25000.0,20000.0,-1816,Horizon_1
30000.0,20000.0,-1878,Horizon_1
35000.0,20000.0,-1933,Horizon_1
40000.0,20000.0,-1984,Horizon_1
45000.0,20000.0,-2020,Horizon_1
50000.0,20000.0,-2095,Horizon_1
55000.0,20000.0,-2148,Horizon_1
60000.0,20000.0,-2173,Horizon_1
65000.0,20000.0,-2189,Horizon_1
70000.0,20000.0,-2259,Horizon_1
75000.0,20000.0,-2289,Horizon_1
80000.0,20000.0,-2299,Horizon_1
85000.0,20000.0,-2362,Horizon_1
90000.0,20000.0,-2388,Horizon_1
95000.0,20000.0,-2344,Horizon_1
100000.0,20000.0,-2427,Horizon_1
105000.0,20000.0,-2460,Horizon_1
110000.0,20000.0,-2501,Horizon_1
115000.0,20000.0,-2570,Horizon_1
120000.0,20000.0,-2625,Horizon_1
125000.0,20000.0,-2818,Horizon_1
130000.0,20000.0,-2860,Horizon_1
135000.0,20000.0,-2864,Horizon_1
140000.0,20000.0,-2868,Horizon_1
145000.0,20000.0,-2838,Horizon_1
150000.0,20000.0,-2916,Horizon_1
155000.0,20000.0,-3004,Horizon_1
160000.0,20000.0,-3202,Horizon_1
165000.0,20000.0,-3186,Horizon_1
170000.0,20000.0,-3164,Horizon_1
175000.0,20000.0,-3194,Horizon_1
0.0,25000.0,-1546,Horizon_1
5000.0,25000.0,-1642,Horizon_1
10000.0,25000.0,-1706,Horizon_1
15000.0,25000.0,-1749,Horizon_1
20000.0,25000.0,-1795,Horizon_1
25000.0,25000.0,-1842,Horizon_1
30000.0,25000.0,-1886,Horizon_1
35000.0,25000.0,-1936,Horizon_1
40000.0,25000.0,-1982,Horizon_1
45000.0,25000.0,-2036,Horizon_1
50000.0,25000.0,-2090,Horizon_1
55000.0,25000.0,-2129,Horizon_1
60000.0,25000.0,-2164,Horizon_1
65000.0,25000.0,-2193,Horizon_1
70000.0,25000.0,-2252,Horizon_1
75000.0,25000.0,-2277,Horizon_1
80000.0,25000.0,-2279,Horizon_1
85000.0,25000.0,-2359,Horizon_1
90000.0,25000.0,-2345,Horizon_1
95000.0,25000.0,-2395,Horizon_1
100000.0,25000.0,-2424,Horizon_1
105000.0,25000.0,-2466,Horizon_1
110000.0,25000.0,-2461,Horizon_1
115000.0,25000.0,-2486,Horizon_1
120000.0,25000.0,-2737,Horizon_1
125000.0,25000.0,-2899,Horizon_1
130000.0,25000.0,-2882,Horizon_1
135000.0,25000.0,-2871,Horizon_1
140000.0,25000.0,-2873,Horizon_1
145000.0,25000.0,-2883,Horizon_1
150000.0,25000.0,-2963,Horizon_1
155000.0,25000.0,-3035,Horizon_1
160000.0,25000.0,-3168,Horizon_1
165000.0,25000.0,-3149,Horizon_1
170000.0,25000.0,-3124,Horizon_1
175000.0,25000.0,-3153,Horizon_1
0.0,30000.0,-1495,Horizon_1
5000.0,30000.0,-1610,Horizon_1
10000.0,30000.0,-1675,Horizon_1
15000.0,30000.0,-1757,Horizon_1
20000.0,30000.0,-1821,Horizon_1
25000.0,30000.0,-1878,Horizon_1
30000.0,30000.0,-1914,Horizon_1
35000.0,30000.0,-1956,Horizon_1
40000.0,30000.0,-2001,Horizon_1
45000.0,30000.0,-2038,Horizon_1
50000.0,30000.0,-2077,Horizon_1
55000.0,30000.0,-2116,Horizon_1
60000.0,30000.0,-2147,Horizon_1
65000.0,30000.0,-2179,Horizon_1
70000.0,30000.0,-2223,Horizon_1
75000.0,30000.0,-2255,Horizon_1
80000.0,30000.0,-2266,Horizon_1
85000.0,30000.0,-2343,Horizon_1
90000.0,30000.0,-2336,Horizon_1
95000.0,30000.0,-2399,Horizon_1
100000.0,30000.0,-2419,Horizon_1
105000.0,30000.0,-2499,Horizon_1
110000.0,30000.0,-2585,Horizon_1
115000.0,30000.0,-2585,Horizon_1
120000.0,30000.0,-2864,Horizon_1
125000.0,30000.0,-2730,Horizon_1
130000.0,30000.0,-2859,Horizon_1
135000.0,30000.0,-2878,Horizon_1
140000.0,30000.0,-2873,Horizon_1
145000.0,30000.0,-2863,Horizon_1
150000.0,30000.0,-2904,Horizon_1
155000.0,30000.0,-3052,Horizon_1
160000.0,30000.0,-3119,Horizon_1
165000.0,30000.0,-3100,Horizon_1
170000.0,30000.0,-3081,Horizon_1
175000.0,30000.0,-3109,Horizon_1
0.0,35000.0,-1410,Horizon_1
5000.0,35000.0,-1540,Horizon_1
10000.0,35000.0,-1643,Horizon_1
15000.0,35000.0,-1729,Horizon_1
20000.0,35000.0,-1807,Horizon_1
25000.0,35000.0,-1882,Horizon_1
30000.0,35000.0,-1927,Horizon_1
35000.0,35000.0,-1961,Horizon_1
40000.0,35000.0,-1996,Horizon_1
45000.0,35000.0,-2037,Horizon_1
50000.0,35000.0,-2075,Horizon_1
55000.0,35000.0,-2113,Horizon_1
60000.0,35000.0,-2140,Horizon_1
65000.0,35000.0,-2171,Horizon_1
70000.0,35000.0,-2214,Horizon_1
75000.0,35000.0,-2264,Horizon_1
80000.0,35000.0,-2290,Horizon_1
85000.0,35000.0,-2327,Horizon_1
90000.0,35000.0,-2358,Horizon_1
95000.0,35000.0,-2377,Horizon_1
100000.0,35000.0,-2421,Horizon_1
105000.0,35000.0,-2536,Horizon_1
110000.0,35000.0,-2635,Horizon_1
115000.0,35000.0,-2537,Horizon_1
120000.0,35000.0,-2840,Horizon_1
125000.0,35000.0,-2809,Horizon_1
130000.0,35000.0,-2746,Horizon_1
135000.0,35000.0,-2879,Horizon_1
140000.0,35000.0,-2873,Horizon_1
145000.0,35000.0,-2871,Horizon_1
150000.0,35000.0,-2892,Horizon_1
155000.0,35000.0,-3026,Horizon_1
160000.0,35000.0,-3055,Horizon_1
165000.0,35000.0,-3040,Horizon_1
170000.0,35000.0,-3042,Horizon_1
175000.0,35000.0,-3066,Horizon_1
0.0,40000.0,-1320,Horizon_1
5000.0,40000.0,-1487,Horizon_1
10000.0,40000.0,-1607,Horizon_1
15000.0,40000.0,-1722,Horizon_1
20000.0,40000.0,-1798,Horizon_1
25000.0,40000.0,-1859,Horizon_1
30000.0,40000.0,-1905,Horizon_1
35000.0,40000.0,-1943,Horizon_1
40000.0,40000.0,-1981,Horizon_1
45000.0,40000.0,-2032,Horizon_1
50000.0,40000.0,-2076,Horizon_1
55000.0,40000.0,-2125,Horizon_1
60000.0,40000.0,-2159,Horizon_1
65000.0,40000.0,-2190,Horizon_1
70000.0,40000.0,-2227,Horizon_1
75000.0,40000.0,-2261,Horizon_1
80000.0,40000.0,-2284,Horizon_1
85000.0,40000.0,-2316,Horizon_1
90000.0,40000.0,-2351,Horizon_1
95000.0,40000.0,-2391,Horizon_1
100000.0,40000.0,-2443,Horizon_1
105000.0,40000.0,-2497,Horizon_1
110000.0,40000.0,-2508,Horizon_1
115000.0,40000.0,-2523,Horizon_1
120000.0,40000.0,-2868,Horizon_1
125000.0,40000.0,-2717,Horizon_1
130000.0,40000.0,-2678,Horizon_1
135000.0,40000.0,-2877,Horizon_1
140000.0,40000.0,-2871,Horizon_1
145000.0,40000.0,-2873,Horizon_1
150000.0,40000.0,-2903,Horizon_1
155000.0,40000.0,-2937,Horizon_1
160000.0,40000.0,-2970,Horizon_1
165000.0,40000.0,-2986,Horizon_1
170000.0,40000.0,-3024,Horizon_1
175000.0,40000.0,-3055,Horizon_1
0.0,45000.0,-1136,Horizon_1
5000.0,45000.0,-1414,Horizon_1
10000.0,45000.0,-1585,Horizon_1
15000.0,45000.0,-1706,Horizon_1
20000.0,45000.0,-1769,Horizon_1
25000.0,45000.0,-1829,Horizon_1
30000.0,45000.0,-1868,Horizon_1
35000.0,45000.0,-1912,Horizon_1
40000.0,45000.0,-1962,Horizon_1
45000.0,45000.0,-2023,Horizon_1
50000.0,45000.0,-2073,Horizon_1
55000.0,45000.0,-2116,Horizon_1
60000.0,45000.0,-2148,Horizon_1
65000.0,45000.0,-2175,Horizon_1
70000.0,45000.0,-2219,Horizon_1
75000.0,45000.0,-2253,Horizon_1
80000.0,45000.0,-2279,Horizon_1
85000.0,45000.0,-2320,Horizon_1
90000.0,45000.0,-2353,Horizon_1
95000.0,45000.0,-2408,Horizon_1
100000.0,45000.0,-2478,Horizon_1
105000.0,45000.0,-2525,Horizon_1
110000.0,45000.0,-2528,Horizon_1
115000.0,45000.0,-2460,Horizon_1
120000.0,45000.0,-2383,Horizon_1
125000.0,45000.0,-2675,Horizon_1
130000.0,45000.0,-2826,Horizon_1
135000.0,45000.0,-2852,Horizon_1
140000.0,45000.0,-2855,Horizon_1
145000.0,45000.0,-2863,Horizon_1
150000.0,45000.0,-2863,Horizon_1
155000.0,45000.0,-2893,Horizon_1
160000.0,45000.0,-2921,Horizon_1
165000.0,45000.0,-2945,Horizon_1
170000.0,45000.0,-2993,Horizon_1
175000.0,45000.0,-3039,Horizon_1
0.0,50000.0,-842,Horizon_1
5000.0,50000.0,-1311,Horizon_1
10000.0,50000.0,-1520,Horizon_1
15000.0,50000.0,-1643,Horizon_1
20000.0,50000.0,-1714,Horizon_1
25000.0,50000.0,-1790,Horizon_1
30000.0,50000.0,-1841,Horizon_1
35000.0,50000.0,-1911,Horizon_1
40000.0,50000.0,-1977,Horizon_1
45000.0,50000.0,-2021,Horizon_1
50000.0,50000.0,-2065,Horizon_1
55000.0,50000.0,-2101,Horizon_1
60000.0,50000.0,-2142,Horizon_1
65000.0,50000.0,-2180,Horizon_1
70000.0,50000.0,-2210,Horizon_1
75000.0,50000.0,-2239,Horizon_1
80000.0,50000.0,-2269,Horizon_1
85000.0,50000.0,-2301,Horizon_1
90000.0,50000.0,-2350,Horizon_1
95000.0,50000.0,-2416,Horizon_1
100000.0,50000.0,-2498,Horizon_1
105000.0,50000.0,-2533,Horizon_1
110000.0,50000.0,-2512,Horizon_1
115000.0,50000.0,-2454,Horizon_1
120000.0,50000.0,-2387,Horizon_1
125000.0,50000.0,-2424,Horizon_1
130000.0,50000.0,-2782,Horizon_1
135000.0,50000.0,-2815,Horizon_1
140000.0,50000.0,-2815,Horizon_1
145000.0,50000.0,-2844,Horizon_1
150000.0,50000.0,-2839,Horizon_1
155000.0,50000.0,-2860,Horizon_1
160000.0,50000.0,-2878,Horizon_1
165000.0,50000.0,-2912,Horizon_1
170000.0,50000.0,-2958,Horizon_1
175000.0,50000.0,-3025,Horizon_1
0.0,55000.0,-388,Horizon_1
5000.0,55000.0,-1374,Horizon_1
10000.0,55000.0,-1438,Horizon_1
15000.0,55000.0,-1587,Horizon_1
20000.0,55000.0,-1673,Horizon_1
25000.0,55000.0,-1757,Horizon_1
30000.0,55000.0,-1837,Horizon_1
35000.0,55000.0,-1909,Horizon_1
40000.0,55000.0,-1973,Horizon_1
45000.0,55000.0,-2017,Horizon_1
50000.0,55000.0,-2052,Horizon_1
55000.0,55000.0,-2081,Horizon_1
60000.0,55000.0,-2113,Horizon_1
65000.0,55000.0,-2173,Horizon_1
70000.0,55000.0,-2199,Horizon_1
75000.0,55000.0,-2198,Horizon_1
80000.0,55000.0,-2260,Horizon_1
85000.0,55000.0,-2280,Horizon_1
90000.0,55000.0,-2369,Horizon_1
95000.0,55000.0,-2418,Horizon_1
100000.0,55000.0,-2473,Horizon_1
105000.0,55000.0,-2437,Horizon_1
110000.0,55000.0,-2394,Horizon_1
115000.0,55000.0,-2475,Horizon_1
120000.0,55000.0,-2465,Horizon_1
125000.0,55000.0,-2409,Horizon_1
130000.0,55000.0,-2515,Horizon_1
135000.0,55000.0,-2768,Horizon_1
140000.0,55000.0,-2753,Horizon_1
145000.0,55000.0,-2802,Horizon_1
150000.0,55000.0,-2812,Horizon_1
155000.0,55000.0,-2827,Horizon_1
160000.0,55000.0,-2849,Horizon_1
165000.0,55000.0,-2887,Horizon_1
170000.0,55000.0,-2938,Horizon_1
175000.0,55000.0,-3013,Horizon_1
0.0,60000.0,-199,Horizon_1
5000.0,60000.0,-974,Horizon_1
10000.0,60000.0,-1328,Horizon_1
15000.0,60000.0,-1513,Horizon_1
20000.0,60000.0,-1626,Horizon_1
25000.0,60000.0,-1737,Horizon_1
30000.0,60000.0,-1810,Horizon_1
35000.0,60000.0,-1885,Horizon_1
40000.0,60000.0,-1945,Horizon_1
45000.0,60000.0,-1995,Horizon_1
50000.0,60000.0,-2043,Horizon_1
55000.0,60000.0,-2085,Horizon_1
60000.0,60000.0,-2121,Horizon_1
65000.0,60000.0,-2166,Horizon_1
70000.0,60000.0,-2183,Horizon_1
75000.0,60000.0,-2177,Horizon_1
80000.0,60000.0,-2231,Horizon_1
85000.0,60000.0,-2286,Horizon_1
90000.0,60000.0,-2354,Horizon_1
95000.0,60000.0,-2376,Horizon_1
100000.0,60000.0,-2450,Horizon_1
105000.0,60000.0,-2476,Horizon_1
110000.0,60000.0,-2487,Horizon_1
115000.0,60000.0,-2489,Horizon_1
120000.0,60000.0,-2464,Horizon_1
125000.0,60000.0,-2428,Horizon_1
130000.0,60000.0,-2468,Horizon_1
135000.0,60000.0,-2612,Horizon_1
140000.0,60000.0,-2709,Horizon_1
145000.0,60000.0,-2735,Horizon_1
150000.0,60000.0,-2773,Horizon_1
155000.0,60000.0,-2726,Horizon_1
160000.0,60000.0,-2817,Horizon_1
165000.0,60000.0,-2855,Horizon_1
170000.0,60000.0,-2904,Horizon_1
175000.0,60000.0,-2960,Horizon_1
0.0,65000.0,-127,Horizon_1
5000.0,65000.0,-750,Horizon_1
10000.0,65000.0,-1235,Horizon_1
15000.0,65000.0,-1473,Horizon_1
20000.0,65000.0,-1598,Horizon_1
25000.0,65000.0,-1693,Horizon_1
30000.0,65000.0,-1776,Horizon_1
35000.0,65000.0,-1850,Horizon_1
40000.0,65000.0,-1923,Horizon_1
45000.0,65000.0,-2001,Horizon_1
50000.0,65000.0,-2057,Horizon_1
55000.0,65000.0,-2094,Horizon_1
60000.0,65000.0,-2129,Horizon_1
65000.0,65000.0,-2155,Horizon_1
70000.0,65000.0,-2161,Horizon_1
75000.0,65000.0,-2172,Horizon_1
80000.0,65000.0,-2218,Horizon_1
85000.0,65000.0,-2277,Horizon_1
90000.0,65000.0,-2314,Horizon_1
95000.0,65000.0,-2381,Horizon_1
100000.0,65000.0,-2433,Horizon_1
105000.0,65000.0,-2452,Horizon_1
110000.0,65000.0,-2453,Horizon_1
115000.0,65000.0,-2492,Horizon_1
120000.0,65000.0,-2445,Horizon_1
125000.0,65000.0,-2429,Horizon_1
130000.0,65000.0,-2408,Horizon_1
135000.0,65000.0,-2463,Horizon_1
140000.0,65000.0,-2659,Horizon_1
145000.0,65000.0,-2746,Horizon_1
150000.0,65000.0,-2694,Horizon_1
155000.0,65000.0,-2536,Horizon_1
160000.0,65000.0,-2774,Horizon_1
165000.0,65000.0,-2822,Horizon_1
